1	2:49	3:-42	4:-123	5:-30	6:-112	7:-1	
1	2:-90	3:-24	4:-115	5:-34	6:-148	7:0	
1	2:-79	3:-17	4:-100	5:-11	6:-107	7:18	
1	2:56	3:-39	4:-95	5:-43	6:-122	7:-2	
1	2:-81	3:-31	4:-118	5:-41	6:-114	7:2	
1	2:-41	3:-26	4:-107	5:-46	6:-104	7:7	
1	2:-68	3:-22	4:-100	5:-21	6:-114	7:10	
1	2:-66	3:-22	4:-112	5:-54	6:-138	7:2	
1	2:-68	3:-20	4:-97	5:-47	6:-118	7:4	
1	2:-12	3:-22	4:-112	5:-40	6:-126	7:19	
1	2:-62	3:-30	4:-114	5:-38	6:-123	7:0	
1	2:43	3:-25	4:-131	5:-39	6:-124	7:-1	
1	2:16	3:128	4:-50	5:15	6:-83	7:53	
1	2:-55	3:-49	4:-117	5:-32	6:-132	7:2	
1	2:61	3:-15	4:-87	5:-25	6:-115	7:15	
1	2:-30	3:-56	4:-94	5:-20	6:-114	7:21	
1	2:-20	3:-48	4:-89	5:-51	6:-140	7:10	
1	2:-26	3:-35	4:-67	5:108	6:-92	7:26	
1	2:5	3:-64	4:-79	5:-22	6:-111	7:23	
1	2:-18	3:-69	4:-70	5:-27	6:-102	7:19	
1	2:-20	3:-79	4:-90	5:-39	6:-130	7:10	
1	2:-38	3:64	4:-86	5:-35	6:-112	7:11	
1	2:-22	3:88	4:-88	5:-6	6:-90	7:35	
1	2:-3	3:10	4:115	5:14	6:-65	7:61	
1	2:102	3:-49	4:-86	5:-16	6:-95	7:11	
1	2:-5	3:-80	4:-83	5:-7	6:-75	7:23	
1	2:1	3:-59	4:-75	5:-16	6:-81	7:23	
1	2:-20	3:-67	4:-42	5:-1	6:-60	7:48	
1	2:132	3:-38	4:-51	5:132	6:-68	7:44	
1	2:-75	3:-96	4:-107	5:-53	6:-142	7:-4	
1	2:-20	3:88	4:-56	5:-35	6:-98	7:29	
1	2:-84	3:-103	4:-115	5:-47	6:-107	7:-4	
1	2:102	3:-54	4:-97	5:102	6:-124	7:2	
1	2:-4	3:96	4:-87	5:-4	6:-90	7:30	
1	2:7	3:106	4:-37	5:106	6:-75	7:41	
1	2:0	3:-84	4:-93	5:-22	6:-56	7:22	
1	2:104	3:-38	4:104	5:-48	6:-71	7:104	
1	2:94	3:-48	4:-41	5:-45	6:-69	7:-23	
1	2:-15	3:83	4:-12	5:-21	6:83	7:-14	
1	2:4	3:11	4:112	5:-33	6:-50	7:34	
1	2:-21	3:-59	4:-49	5:-42	6:-104	7:15	
1	2:-5	3:-11	4:110	5:-34	6:-38	7:37	
1	2:148	3:-26	4:-17	5:-12	6:-72	7:43	
1	2:-36	3:-47	4:-106	5:-11	6:-87	7:30	
1	2:-1	3:-26	4:94	5:-5	6:-64	7:46	
1	2:-161	3:-167	4:-181	5:-179	6:-215	7:-130	
1	2:-62	3:-65	4:-71	5:-48	6:-107	7:-17	
1	2:-19	3:-58	4:-54	5:-45	6:-81	7:11	
1	2:-205	3:-142	4:-169	5:-181	6:-211	7:-112	
1	2:115	3:-24	4:-32	5:-41	6:-64	7:34	
