1	1:52	2:25	3:71	4:107	5:53	6:25	7:64	
1	1:209	2:18	3:56	4:42	5:17	6:12	7:43	
1	1:18	2:60	3:94	4:55	5:63	6:39	7:66	
1	1:83	2:19	3:37	4:24	5:47	6:41	7:145	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:193	2:30	3:16	4:32	5:14	6:11	7:101	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:30	2:59	3:128	4:63	5:29	6:28	7:59	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:55	2:75	3:54	4:31	5:24	6:24	7:134	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:150	2:15	3:10	4:62	5:16	6:8	7:135	
1	1:29	2:23	3:31	4:30	5:24	6:15	7:245	
1	1:201	2:34	3:37	4:21	5:4	6:2	7:98	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:20	2:14	3:42	4:22	5:24	6:12	7:261	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:29	2:15	3:9	4:33	5:17	6:28	7:266	
1	1:20	2:27	3:19	4:15	5:23	6:18	7:275	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:397	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:37	2:40	3:26	4:14	5:15	6:25	7:240	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:73	2:18	3:20	4:42	5:38	6:18	7:188	
1	1:0	2:395	3:0	4:0	5:0	6:0	7:1	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:58	2:20	3:88	4:94	5:24	6:33	7:80	
1	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:0	2:0	3:0	4:396	5:0	6:0	7:2	
1	1:0	2:0	3:397	4:0	5:0	6:0	7:0	
1	1:40	2:33	3:14	4:53	5:44	6:18	7:194	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:34	2:55	3:2	4:18	5:12	6:7	7:270	
1	1:111	2:26	3:45	4:26	5:27	6:15	7:147	
1	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
1	1:75	2:49	3:40	4:10	5:22	6:17	7:183	
1	1:105	2:35	3:13	4:12	5:13	6:8	7:212	
1	1:245	2:27	3:23	4:18	5:17	6:23	7:44	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:170	2:27	3:14	4:17	5:55	6:20	7:93	
1	1:136	2:42	3:19	4:19	5:31	6:2	7:147	
1	1:82	2:7	3:64	4:76	5:20	6:15	7:132	
1	1:51	2:30	3:102	4:9	5:17	6:9	7:179	
1	1:93	2:25	3:40	4:17	5:22	6:10	7:190	
1	1:38	2:12	3:23	4:20	5:29	6:9	7:266	
1	1:42	2:55	3:64	4:42	5:16	6:9	7:170	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:133	2:0	3:0	4:133	5:0	6:0	7:133	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:52	2:26	3:40	4:12	5:11	6:10	7:246	
1	1:88	2:30	3:20	4:29	5:13	6:11	7:206	
1	1:78	2:7	3:28	4:23	5:21	6:4	7:236	
1	1:64	2:10	3:11	4:32	5:34	6:9	7:237	
1	1:171	2:15	3:24	4:45	5:13	6:7	7:122	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:67	2:60	3:22	4:20	5:18	6:14	7:195	
1	1:194	2:21	3:9	4:10	5:9	6:5	7:149	
1	1:27	2:59	3:42	4:10	5:22	6:4	7:231	
1	1:77	2:9	3:40	4:14	5:20	6:8	7:229	
1	1:160	2:13	3:42	4:9	5:15	6:7	7:151	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:81	2:16	3:13	4:47	5:13	6:8	7:218	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:397	
1	1:0	2:133	3:133	4:0	5:0	6:0	7:133	
1	1:68	2:56	3:12	4:13	5:18	6:11	7:219	
1	1:91	2:54	3:44	4:29	5:32	6:13	7:135	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:397	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:120	2:9	3:18	4:31	5:11	6:9	7:199	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:133	3:133	4:0	5:0	6:0	7:133	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:50	2:5	3:67	4:23	5:26	6:9	7:217	
1	1:0	2:199	3:0	4:0	5:0	6:0	7:199	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:3	2:0	3:0	4:0	5:0	6:0	7:395	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:397	
1	1:3	2:0	3:0	4:0	5:0	6:0	7:394	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:164	2:35	3:44	4:33	5:4	6:7	7:109	
