1	1:6	2:374	3:0	4:0	5:0	6:0	7:17	
1	1:37	2:5	3:21	4:11	5:14	6:4	7:304	
1	1:12	2:12	3:5	4:12	5:5	6:0	7:350	
1	1:87	2:26	3:21	4:2	5:3	6:1	7:256	
1	1:1	2:130	3:130	4:130	5:0	6:0	7:6	
1	1:195	2:195	3:0	4:0	5:0	6:0	7:8	
1	1:32	2:5	3:2	4:5	5:2	6:0	7:351	
1	1:2	2:0	3:379	4:0	5:0	6:0	7:17	
1	1:96	2:8	3:18	4:11	5:2	6:1	7:262	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:6	2:0	3:191	4:191	5:0	6:0	7:9	
1	1:45	2:15	3:12	4:10	5:5	6:1	7:308	
1	1:2	2:0	3:194	4:193	5:0	6:0	7:8	
1	1:133	2:3	3:5	4:10	5:2	6:2	7:242	
1	1:76	2:33	3:9	4:6	5:5	6:2	7:266	
1	1:159	2:16	3:20	4:23	5:13	6:4	7:162	
1	1:0	2:0	3:0	4:0	5:0	6:399	7:0	
1	1:2	2:1	3:386	4:0	5:0	6:0	7:8	
1	1:2	2:0	3:388	4:0	5:0	6:0	7:7	
1	1:0	2:0	3:0	4:0	5:0	6:396	7:2	
1	1:54	2:24	3:28	4:27	5:10	6:0	7:253	
1	1:5	2:0	3:385	4:0	5:0	6:0	7:7	
1	1:1	2:0	3:391	4:0	5:0	6:0	7:6	
1	1:1	2:0	3:389	4:0	5:0	6:0	7:7	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:1	
1	1:2	2:0	3:387	4:0	5:0	6:0	7:8	
1	1:29	2:4	3:1	4:334	5:1	6:0	7:28	
1	1:52	2:19	3:34	4:10	5:7	6:1	7:273	
1	1:49	2:11	3:7	4:50	5:9	6:2	7:270	
1	1:128	2:8	3:10	4:9	5:9	6:2	7:232	
1	1:0	2:0	3:0	4:0	5:0	6:396	7:2	
1	1:129	2:16	3:44	4:12	5:7	6:2	7:185	
1	1:79	2:13	3:39	4:16	5:4	6:1	7:244	
1	1:0	2:198	3:198	4:0	5:0	6:0	7:3	
1	1:3	2:2	3:386	4:0	5:0	6:0	7:6	
1	1:61	2:38	3:45	4:12	5:15	6:1	7:225	
1	1:198	2:198	3:0	4:0	5:0	6:0	7:2	
1	1:99	2:99	3:99	4:0	5:99	6:0	7:2	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:143	2:19	3:19	4:5	5:27	6:1	7:183	
1	1:199	2:0	3:0	4:0	5:0	6:199	7:1	
1	1:0	2:0	3:0	4:0	5:0	6:396	7:2	
1	1:396	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:397	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:0	2:132	3:132	4:132	5:0	6:0	7:2	
1	1:38	2:28	3:18	4:8	5:12	6:1	7:291	
1	1:4	2:385	3:1	4:0	5:0	6:0	7:7	
1	1:388	2:0	3:0	4:0	5:0	6:0	7:9	
1	1:16	2:0	3:373	4:0	5:0	6:0	7:7	
1	1:99	2:13	3:21	4:20	5:14	6:1	7:227	
1	1:32	2:27	3:7	4:16	5:15	6:1	7:300	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:71	2:13	3:43	4:7	5:10	6:1	7:251	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:8	2:0	3:1	4:379	5:0	6:0	7:9	
1	1:115	2:51	3:17	4:11	5:29	6:2	7:171	
1	1:92	2:29	3:58	4:17	5:15	6:0	7:185	
1	1:13	2:1	3:183	4:183	5:0	6:0	7:17	
1	1:4	2:195	3:0	4:0	5:195	6:0	7:4	
1	1:105	2:17	3:5	4:7	5:11	6:1	7:251	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:3	2:1	3:384	4:0	5:0	6:0	7:9	
