0	1:79	2:121	3:126	4:46	5:21	6:2	7:1	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:275	2:36	3:47	4:15	5:17	6:5	7:1	
0	1:292	2:43	3:37	4:14	5:4	6:4	7:3	
0	1:258	2:51	3:56	4:13	5:15	6:1	7:3	
0	1:190	2:76	3:46	4:59	5:18	6:5	7:2	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:220	2:45	3:69	4:20	5:25	6:13	7:5	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:1	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:290	2:40	3:37	4:14	5:12	6:1	7:2	
0	1:1	2:199	3:199	4:0	5:0	6:0	7:0	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:198	3:0	4:1	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:150	2:153	3:34	4:22	5:27	6:4	7:7	
0	1:167	2:82	3:17	4:101	5:21	6:4	7:5	
0	1:1	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:198	2:45	3:61	4:74	5:12	6:4	7:3	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:1	2:0	3:2	4:395	5:0	6:0	7:0	
0	1:188	2:71	3:37	4:59	5:27	6:10	7:4	
0	1:300	2:39	3:21	4:30	5:4	6:1	7:1	
0	1:251	2:46	3:17	4:53	5:20	6:2	7:7	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:347	2:15	3:13	4:12	5:9	6:1	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:119	2:39	3:103	4:119	5:13	6:2	7:1	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:398	3:0	4:0	5:0	6:0	7:0	
0	1:246	2:39	3:34	4:59	5:11	6:6	7:1	
0	1:1	2:0	3:0	4:0	5:0	6:0	7:396	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:181	2:41	3:91	4:40	5:26	6:11	7:6	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:100	2:99	3:99	4:99	5:0	6:0	7:0	
0	1:136	2:132	3:51	4:42	5:29	6:5	7:2	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:136	2:102	3:27	4:68	5:57	6:5	7:1	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:337	2:8	3:19	4:19	5:9	6:2	7:2	
0	1:0	2:0	3:3	4:395	5:0	6:0	7:0	
0	1:109	2:11	3:201	4:58	5:14	6:1	7:2	
0	1:222	2:35	3:75	4:39	5:19	6:3	7:5	
0	1:1	2:0	3:397	4:0	5:0	6:0	7:0	
0	1:1	2:199	3:198	4:0	5:0	6:0	7:0	
0	1:1	2:199	3:199	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:0	3:0	4:199	5:0	6:0	7:0	
0	1:296	2:52	3:30	4:13	5:4	6:0	7:2	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:166	2:111	3:77	4:24	5:13	6:1	7:5	
0	1:182	2:83	3:73	4:15	5:35	6:1	7:7	
