1	1:-28	2:-8	3:-36	4:-30	5:-58	6:-12	
1	1:-36	2:-48	3:-58	4:-77	5:-100	6:96	
1	1:-33	2:-25	3:121	4:-48	5:-66	6:121	
1	1:-36	2:-7	3:-27	4:-63	5:-96	6:-3	
1	1:-11	2:-33	3:-17	4:-25	5:-47	6:11	
1	1:-49	2:-30	3:-50	4:-46	5:-70	6:-7	
1	1:16	2:21	3:7	4:-13	5:-24	6:24	
1	1:-18	2:-16	3:8	4:-2	5:-20	6:166	
1	1:-7	2:-11	3:-54	4:-40	5:-79	6:-13	
1	1:103	2:-41	3:-52	4:-60	5:-89	6:-36	
1	1:-36	2:104	3:-84	4:-70	5:-87	6:-36	
1	1:-45	2:-42	3:-59	4:-29	5:-45	6:-1	
1	1:-156	2:-166	3:0	4:-161	5:-179	6:-114	
1	1:-44	2:-51	3:-65	4:-44	5:-72	6:-13	
1	1:-172	2:-162	3:-171	4:-153	5:-185	6:-147	
1	1:-28	2:-18	3:-22	4:-13	5:-46	6:-30	
1	1:78	2:78	3:78	4:-65	5:-60	6:78	
1	1:-62	2:139	3:-54	4:-33	5:-46	6:-19	
1	1:-81	2:113	3:-29	4:-45	5:-52	6:-44	
1	1:-186	2:-196	3:-202	4:-190	5:-208	6:-241	
1	1:91	2:-51	3:91	4:-64	5:-69	6:-75	
1	1:-50	2:-51	3:-38	4:-59	5:-81	6:-102	
1	1:-27	2:-24	3:92	4:-50	5:-74	6:-73	
1	1:-156	2:0	3:-163	4:-167	5:-161	6:-189	
1	1:21	2:7	3:125	4:-18	5:-32	6:125	
1	1:-101	2:-119	3:-140	4:0	5:-142	6:-153	
1	1:-23	2:67	3:-46	4:-68	5:-54	6:-70	
1	1:-28	2:-18	3:-39	4:-61	5:-59	6:-68	
1	1:-242	2:-175	3:-207	4:-193	5:-185	6:-215	
1	1:-55	2:-47	3:-86	4:-71	5:-64	6:-93	
1	1:-182	2:-165	3:-183	4:-198	5:-218	6:-192	
1	1:-65	2:-54	3:-54	4:-79	5:-72	6:-72	
1	1:-40	2:-41	3:-48	4:-59	5:-72	6:-61	
1	1:3	2:14	3:0	4:0	5:-8	6:-6	
1	1:-153	2:-193	3:-166	4:-165	5:-175	6:-162	
1	1:-165	2:-152	3:-176	4:-162	5:-178	6:-179	
1	1:-32	2:-34	3:-91	4:-66	5:-84	6:-86	
1	1:-177	2:-163	3:-172	4:-181	5:-202	6:-172	
1	1:-10	2:-31	3:-65	4:-30	5:-62	6:-44	
1	1:141	2:141	3:-85	4:-57	5:-52	6:-46	
1	1:-145	2:-171	3:-186	4:-196	5:-191	6:-195	
1	1:-21	2:121	3:-50	4:-61	5:-57	6:-56	
1	1:-48	2:-70	3:-42	4:-76	5:-56	6:-69	
1	1:-23	2:-34	3:-17	4:-17	5:-49	6:-43	
1	1:-21	2:24	3:-13	4:-17	5:-29	6:-32	
1	1:5	2:-8	3:-20	4:-46	5:-66	6:-39	
1	1:-8	2:135	3:-37	4:-43	5:-73	6:-32	
1	1:-166	2:-148	3:-170	4:-171	5:-178	6:-192	
1	1:141	2:-8	3:-29	4:-29	5:-63	6:-43	
1	1:13	2:148	3:-26	4:-41	5:-64	6:-29	
1	1:160	2:11	3:2	4:-13	5:-70	6:-47	
1	1:-169	2:-142	3:-191	4:-188	5:-206	6:-189	
1	1:-4	2:0	3:-28	4:-20	5:-51	6:-27	
1	1:-157	2:-159	3:-166	4:-183	5:-225	6:-173	
1	1:151	2:19	3:-35	4:-19	5:-52	6:-34	
1	1:-8	2:-38	3:-31	4:-43	5:-77	6:-40	
1	1:-10	2:-3	3:-52	4:-53	5:-53	6:-53	
1	1:-137	2:-178	3:-206	4:-181	5:-197	6:-198	
1	1:3	2:-30	3:-50	4:-23	5:-65	6:-39	
1	1:-6	2:-48	3:-53	4:-70	5:-96	6:-64	
1	1:-3	2:132	3:-53	4:-42	5:-76	6:-42	
1	1:-135	2:-175	3:-176	4:-186	5:-208	6:-206	
1	1:-157	2:0	3:-170	4:-163	5:-197	6:-189	
1	1:-86	2:-36	3:-51	4:-58	5:-65	6:-85	
1	1:-18	2:-41	3:-51	4:-56	5:-60	6:-48	
1	1:-147	2:-142	3:-190	4:-185	5:-202	6:-190	
1	1:-119	2:-161	3:-196	4:-160	5:-190	6:-182	
1	1:142	2:-7	3:-31	4:-38	5:-66	6:-33	
1	1:0	2:-158	3:-157	4:-180	5:-212	6:-181	
1	1:-55	2:-40	3:-69	4:-77	5:-67	6:-60	
1	1:0	2:-155	3:-171	4:-185	5:-204	6:-176	
1	1:-142	2:-139	3:-193	4:-191	5:-206	6:-196	
1	1:141	2:0	3:-26	4:-39	5:-50	6:-32	
1	1:17	2:-15	3:-35	4:-31	5:-52	6:-46	
1	1:130	2:130	3:-59	4:-46	5:-75	6:-64	
1	1:-9	2:-34	3:-21	4:-18	5:-77	6:-54	
1	1:0	2:-175	3:-175	4:-183	5:-199	6:-200	
1	1:112	2:-37	3:-53	4:-73	5:-105	6:-86	
1	1:149	2:-23	3:-19	4:-47	5:-72	6:-44	
1	1:141	2:-11	3:-31	4:-38	5:-79	6:-46	
1	1:0	2:-177	3:-182	4:-193	5:-198	6:-212	
1	1:0	2:-169	3:-155	4:-183	5:-219	6:-181	
1	1:113	2:-76	3:-82	4:-78	5:-98	6:-71	
1	1:-20	2:6	3:-44	4:-40	5:-62	6:-28	
1	1:-157	2:-165	3:-189	4:-174	5:-228	6:-217	
1	1:0	2:-5	3:-21	4:-59	5:-72	6:-61	
1	1:-11	2:-15	3:-22	4:-39	5:-50	6:-60	
1	1:-141	2:-157	3:-158	4:-171	5:-183	6:-177	
1	1:-19	2:-39	3:-61	4:-44	5:-89	6:-61	
