0	1:0	2:-141	3:-194	4:-195	5:-215	6:-229	
0	1:-101	2:-9	3:-73	4:-65	5:-94	6:-76	
0	1:-42	2:0	3:-71	4:-65	5:-83	6:-90	
0	1:-60	2:113	3:-62	4:-79	5:-102	6:-108	
0	1:-26	2:35	3:-32	4:-28	5:-47	6:-51	
0	1:-6	2:0	3:-31	4:-42	5:-55	6:-75	
0	1:-147	2:-159	3:-204	4:-193	5:-197	6:-219	
0	1:-139	2:-158	3:-172	4:-172	5:-195	6:-209	
0	1:-15	2:-32	3:-31	4:-24	5:-55	6:-64	
0	1:-154	2:-199	3:-219	4:-194	5:-197	6:-206	
0	1:96	2:-125	3:-105	4:-78	5:-110	6:-125	
0	1:-138	2:-180	3:-184	4:-188	5:-187	6:-211	
0	1:-146	2:-176	3:-177	4:-181	5:-197	6:-220	
0	1:-25	2:10	3:13	4:-17	5:-47	6:-42	
0	1:-162	2:-148	3:-159	4:-182	5:-214	6:-194	
0	1:151	2:151	3:-40	4:-43	5:-42	6:-84	
0	1:9	2:-15	3:-28	4:-16	5:-40	6:-54	
0	1:8	2:-1	3:-34	4:-31	5:-40	6:-56	
0	1:-19	2:-32	3:-38	4:-38	5:-72	6:-72	
0	1:24	2:0	3:-16	4:-29	5:-31	6:-44	
0	1:-11	2:-19	3:-21	4:-28	5:-59	6:-68	
0	1:183	2:37	3:-5	4:-6	5:-14	6:-32	
0	1:-7	2:-8	3:-20	4:-15	5:-43	6:-42	
0	1:-11	2:-17	3:-46	4:-38	5:-71	6:-90	
0	1:145	2:-57	3:-23	4:-46	5:-56	6:-71	
0	1:-31	2:-20	3:-66	4:-42	5:-53	6:-69	
0	1:-14	2:19	3:-32	4:-20	5:-28	6:-46	
0	1:-154	2:-162	3:-176	4:-171	5:-226	6:-214	
0	1:-55	2:-25	3:-47	4:-77	5:-80	6:-93	
0	1:-35	2:7	3:7	4:12	5:-19	6:-65	
0	1:-58	2:-6	3:-22	4:-36	5:-63	6:-48	
0	1:-43	2:-37	3:-55	4:-54	5:-76	6:-115	
0	1:-55	2:-43	3:-69	4:-75	5:-74	6:-111	
0	1:3	2:-17	3:-20	4:-23	5:-41	6:-62	
0	1:-49	2:-27	3:-31	4:-38	5:-64	6:-67	
0	1:-148	2:-180	3:-180	4:-185	5:-190	6:-204	
0	1:-33	2:-43	3:-59	4:-78	5:-88	6:-57	
0	1:-17	2:-4	3:-8	4:-22	5:-50	6:-52	
0	1:-2	2:-5	3:-31	4:-28	5:-36	6:-52	
0	1:-3	2:-16	3:-18	4:-39	5:-51	6:-60	
0	1:-64	2:-81	3:-63	4:-56	5:-99	6:-97	
0	1:-152	2:-184	3:-183	4:-181	5:-219	6:-226	
0	1:-37	2:-20	3:-38	4:-29	5:-46	6:-53	
0	1:-60	2:-29	3:-42	4:-62	5:-74	6:-60	
0	1:-15	2:-16	3:-37	4:-44	5:-71	6:-64	
0	1:16	2:6	3:-20	4:-10	5:-18	6:-17	
0	1:-162	2:-211	3:-182	4:-190	5:-195	6:-220	
0	1:-164	2:-186	3:-208	4:-184	5:-200	6:-220	
0	1:-14	2:-52	3:-32	4:-38	5:-39	6:-64	
0	1:-8	2:-24	3:-25	4:-32	5:-54	6:-72	
0	1:3	2:0	3:-12	4:-35	5:-46	6:-73	
0	1:17	2:-25	3:-30	4:-39	5:-53	6:-41	
0	1:-19	2:-25	3:-24	4:-34	5:-79	6:-81	
0	1:-165	2:-169	3:-170	4:-192	5:-229	6:-206	
0	1:-26	2:-33	3:-49	4:-65	5:-84	6:-99	
0	1:-30	2:-38	3:-37	4:-42	5:-42	6:-52	
0	1:-28	2:-38	3:-70	4:-38	5:-76	6:-82	
0	1:-196	2:-179	3:-180	4:-185	5:-187	6:-213	
0	1:4	2:8	3:-37	4:-36	5:-38	6:-54	
0	1:-165	2:-151	3:-175	4:-188	5:-229	6:-217	
0	1:140	2:-44	3:-56	4:-57	5:-49	6:-64	
0	1:5	2:-23	3:-5	4:-28	5:-35	6:-57	
0	1:177	2:4	3:0	4:25	5:-13	6:-49	
