1	1:-153	2:-146	3:-172	4:-166	5:-198	6:-179	
1	1:-3	2:112	3:112	4:112	5:-27	6:-47	
1	1:-29	2:-72	3:-29	4:111	5:-35	6:-38	
1	1:-29	2:-46	3:-21	4:-44	5:184	6:-61	
1	1:-27	2:-17	3:-18	4:-39	5:-22	6:-50	
1	1:-155	2:-146	3:-152	4:-196	5:-219	6:-215	
1	1:-52	2:-42	3:-49	4:-65	5:-80	6:-85	
1	1:14	2:-50	3:-34	4:-37	5:-58	6:-60	
1	1:-37	2:-40	3:-51	4:-31	5:-52	6:-46	
1	1:1	2:-31	3:-30	4:-18	5:-38	6:-36	
1	1:-4	2:-19	3:-20	4:-34	5:-54	6:-29	
1	1:-55	2:-13	3:-23	4:-48	5:-68	6:-28	
1	1:-1	2:-39	3:-19	4:-16	5:-25	6:-23	
1	1:-7	2:3	3:0	4:-2	5:5	6:-29	
1	1:-58	2:-45	3:-40	4:-71	5:-87	6:-60	
1	1:7	2:21	3:7	4:2	5:-1	6:-7	
1	1:144	2:6	3:-11	4:144	5:-7	6:-15	
1	1:153	2:153	3:153	4:2	5:-4	6:-24	
1	1:-156	2:-160	3:-156	4:-154	5:-173	6:-171	
1	1:151	2:151	3:12	4:-8	5:-20	6:-29	
1	1:-8	2:136	3:-35	4:-35	5:-52	6:-46	
1	1:118	2:-53	3:-47	4:-58	5:-65	6:-42	
1	1:-41	2:0	3:-36	4:-30	5:-35	6:-48	
1	1:-168	2:0	3:-154	4:-157	5:-179	6:-160	
1	1:11	2:32	3:19	4:-3	5:-9	6:-11	
1	1:-17	2:-24	3:-21	4:-9	5:-30	6:-39	
1	1:-143	2:-136	3:-141	4:-171	5:-185	6:-184	
1	1:-1	2:-27	3:-25	4:-40	5:-53	6:-43	
1	1:9	2:166	3:20	4:-7	5:-19	6:-33	
1	1:-75	2:-22	3:-37	4:-24	5:-40	6:-36	
