1	1:-9	2:-7	3:-28	4:-31	5:-21	6:-19	
1	1:-201	2:-164	3:-174	4:-185	5:-186	6:-211	
1	1:-48	2:-22	3:-55	4:-53	5:-76	6:-91	
1	1:9	2:6	3:-23	4:-25	5:-37	6:-69	
1	1:-31	2:-28	3:112	4:-35	5:-50	6:-56	
1	1:-90	2:-85	3:-53	4:-71	5:-79	6:-82	
1	1:-146	2:-143	3:-172	4:-145	5:-186	6:-204	
1	1:-13	2:105	3:-56	4:-55	5:-67	6:-56	
1	1:127	2:-25	3:-46	4:-29	5:-28	6:-27	
1	1:-152	2:-164	3:-169	4:-162	5:-158	6:-159	
1	1:-161	2:-148	3:-160	4:-161	5:-154	6:-177	
1	1:-153	2:-143	3:-171	4:-169	5:-162	6:-170	
1	1:120	2:-25	3:-52	4:-39	5:-57	6:-47	
1	1:-3	2:-36	3:-48	4:-28	5:-71	6:-82	
1	1:-179	2:-159	3:-163	4:-178	5:-166	6:-182	
1	1:-32	2:-30	3:-25	4:-51	5:-30	6:-32	
1	1:-37	2:-29	3:-61	4:-43	5:-55	6:-63	
1	1:-52	2:-34	3:-56	4:-44	5:-64	6:-63	
1	1:-151	2:-152	3:-166	4:-181	5:-193	6:-187	
1	1:-34	2:-43	3:84	4:-55	5:-85	6:-83	
1	1:-21	2:123	3:-13	4:-25	5:-33	6:-47	
1	1:146	2:-1	3:-27	4:0	5:-14	6:-28	
1	1:84	2:84	3:-85	4:84	5:-60	6:-64	
1	1:-8	2:-10	3:-24	4:-29	5:-43	6:-48	
1	1:-164	2:-143	3:0	4:-150	5:-157	6:-148	
1	1:-11	2:146	3:7	4:-5	5:-5	6:-7	
1	1:-10	2:-26	3:-23	4:-41	5:-38	6:-42	
1	1:-57	2:-55	3:-43	4:-68	5:-50	6:-73	
1	1:-42	2:0	3:-3	4:-12	5:-18	6:-26	
1	1:-163	2:-137	3:-141	4:-145	5:-159	6:-159	
1	1:79	2:-95	3:79	4:-76	5:-80	6:-81	
1	1:18	2:-57	3:8	4:-2	5:12	6:-10	
1	1:-146	2:-178	3:-168	4:-167	5:-194	6:-203	
1	1:-29	2:-35	3:-74	4:-54	5:-47	6:-55	
1	1:-174	2:-165	3:-188	4:-170	5:-193	6:-190	
1	1:-39	2:-42	3:-40	4:-39	5:-68	6:-50	
1	1:139	2:139	3:-20	4:-25	5:-47	6:-37	
1	1:-20	2:-2	3:-25	4:-23	5:-34	6:-33	
1	1:-24	2:-48	3:1	4:-26	5:-42	6:-37	
1	1:0	2:-148	3:-161	4:-162	5:-180	6:-165	
1	1:-173	2:-169	3:-164	4:-164	5:-163	6:-190	
1	1:-40	2:-26	3:-44	4:-49	5:-28	6:-77	
1	1:120	2:120	3:-25	4:-17	5:-41	6:-53	
1	1:-29	2:88	3:-39	4:88	5:88	6:-73	
1	1:0	2:-118	3:0	4:-144	5:-172	6:-154	
1	1:-161	2:-173	3:-178	4:-186	5:-190	6:-195	
1	1:-19	2:-28	3:-53	4:84	5:-65	6:-61	
1	1:-199	2:-201	3:-176	4:-182	5:-194	6:-192	
1	1:81	2:81	3:81	4:81	5:-60	6:-56	
1	1:-17	2:102	3:10	4:102	5:102	6:-43	
1	1:-42	2:-36	3:112	4:-38	5:-27	6:-64	
1	1:-37	2:-37	3:-46	4:-26	5:-44	6:-55	
1	1:-38	2:-15	3:122	4:-16	5:122	6:-44	
1	1:-34	2:-50	3:-38	4:-23	5:-36	6:-45	
1	1:-49	2:-43	3:-46	4:-50	5:-48	6:-60	
1	1:-37	2:-39	3:-41	4:-34	5:-38	6:-56	
1	1:-56	2:-45	3:-48	4:-31	5:83	6:-55	
1	1:-25	2:-37	3:3	4:-32	5:-36	6:-52	
1	1:-12	2:-49	3:-33	4:-39	5:-44	6:-66	
1	1:-22	2:-47	3:-48	4:69	5:69	6:-83	
1	1:-33	2:-13	3:-27	4:103	5:-34	6:-43	
1	1:-22	2:-40	3:-23	4:-41	5:-52	6:-51	
1	1:96	2:96	3:96	4:-48	5:-45	6:-85	
1	1:-29	2:-13	3:-8	4:-30	5:-38	6:-68	
1	1:93	2:-51	3:-23	4:93	5:-61	6:-52	
1	1:-63	2:-55	3:99	4:99	5:-44	6:-51	
1	1:-143	2:-176	3:-143	4:-154	5:-171	6:-173	
1	1:-19	2:-55	3:-57	4:-27	5:-29	6:73	
1	1:-5	2:107	3:107	4:107	5:107	6:-41	
1	1:-19	2:-40	3:-63	4:-40	5:-88	6:160	
1	1:-29	2:125	3:-25	4:-42	5:-64	6:-72	
1	1:-55	2:-44	3:-62	4:-47	5:-24	6:-49	
1	1:-69	2:-71	3:-31	4:-31	5:-25	6:-53	
1	1:100	2:-45	3:-36	4:100	5:-37	6:-61	
1	1:-157	2:-114	3:-142	4:0	5:-152	6:-152	
1	1:-76	2:87	3:-81	4:-74	5:-66	6:-96	
1	1:-55	2:-51	3:100	4:-42	5:-50	6:-77	
1	1:-184	2:-159	3:-157	4:-178	5:-163	6:-177	
1	1:-27	2:121	3:121	4:-53	5:-52	6:-44	
1	1:-34	2:83	3:83	4:-21	5:83	6:-73	
1	1:130	2:-11	3:-23	4:-33	5:-29	6:-36	
1	1:-29	2:-9	3:-30	4:-31	5:-37	6:-34	
