1	1:9	2:20	3:-33	4:-21	5:-40	6:-52	
1	1:6	2:9	3:-46	4:-17	5:-58	6:-55	
1	1:31	2:-4	3:-12	4:-26	5:-59	6:-60	
1	1:-170	2:-158	3:-163	4:-179	5:-206	6:-200	
1	1:-150	2:0	3:-181	4:-177	5:-202	6:-217	
1	1:0	2:-145	3:-155	4:-168	5:-197	6:-200	
1	1:3	2:-19	3:-15	4:-34	5:-65	6:-56	
1	1:21	2:-5	3:-33	4:-26	5:-22	6:-49	
1	1:-12	2:20	3:-35	4:-36	5:-31	6:-30	
1	1:-2	2:153	3:-30	4:-32	5:-58	6:-55	
1	1:138	2:-8	3:-13	4:-34	5:-55	6:-59	
1	1:-17	2:0	3:-54	4:-26	5:-59	6:-65	
1	1:-150	2:0	3:-184	4:-180	5:-207	6:-199	
1	1:-155	2:-139	3:-188	4:-171	5:-209	6:-220	
1	1:-34	2:-55	3:-53	4:-60	5:-75	6:-110	
1	1:-7	2:-26	3:-14	4:-44	5:-49	6:-62	
1	1:-118	2:-138	3:-185	4:-186	5:-207	6:-207	
1	1:0	2:0	3:-174	4:-207	5:-196	6:-208	
1	1:0	2:-142	3:-172	4:-190	5:-215	6:-204	
1	1:-30	2:-35	3:-29	4:-58	5:-39	6:-71	
1	1:0	2:0	3:-192	4:-183	5:-196	6:-171	
1	1:6	2:-22	3:-34	4:-83	5:-68	6:-62	
1	1:-40	2:-32	3:-47	4:-76	5:-99	6:-86	
1	1:118	2:-26	3:-98	4:-50	5:-82	6:-83	
1	1:-49	2:-20	3:-79	4:-68	5:-99	6:-94	
1	1:-23	2:11	3:-41	4:-29	5:-67	6:-51	
1	1:148	2:148	3:-30	4:-33	5:-52	6:-63	
1	1:-32	2:3	3:-28	4:-26	5:-46	6:-62	
1	1:20	2:29	3:-23	4:-30	5:-30	6:-37	
1	1:4	2:17	3:-30	4:-24	5:-32	6:-54	
1	1:-3	2:13	3:-22	4:-29	5:-41	6:-70	
1	1:-114	2:-171	3:-150	4:-196	5:-193	6:-208	
1	1:-21	2:-10	3:-60	4:-43	5:-68	6:-56	
1	1:-2	2:142	3:-24	4:-57	5:-55	6:-50	
1	1:-6	2:2	3:-47	4:-51	5:-50	6:-55	
1	1:-141	2:0	3:-179	4:-162	5:-183	6:-226	
1	1:156	2:-20	3:-43	4:-37	5:-31	6:-52	
1	1:-22	2:124	3:124	4:-48	5:-79	6:-74	
1	1:-23	2:93	3:-20	4:-47	5:-57	6:-86	
1	1:-54	2:96	3:-48	4:-61	5:-72	6:-99	
1	1:0	2:118	3:-17	4:118	5:-46	6:-81	
1	1:-8	2:18	3:-21	4:3	5:-21	6:-21	
1	1:-139	2:-146	3:-189	4:-166	5:-207	6:-191	
1	1:-157	2:0	3:-190	4:-180	5:-202	6:-215	
1	1:-17	2:13	3:-39	4:-22	5:-42	6:-58	
1	1:-144	2:-140	3:-184	4:-178	5:-186	6:-193	
1	1:-34	2:-7	3:-20	4:-22	5:-42	6:-73	
1	1:-25	2:23	3:-12	4:-39	5:-48	6:-46	
1	1:8	2:25	3:-33	4:-14	5:-18	6:-46	
1	1:27	2:-28	3:-1	4:-13	5:-34	6:-26	
1	1:-10	2:-7	3:-23	4:-28	5:-31	6:-58	
1	1:-166	2:-152	3:-172	4:-169	5:-184	6:-192	
1	1:-136	2:-138	3:-165	4:-179	5:-211	6:-184	
1	1:0	2:-29	3:-29	4:-49	5:-67	6:-54	
